measurement,stage,value,unit,source
observation window,before,101,seconds,"Anonymized production-test HAR"
stored-log browser fetches,before,43,requests,"Anonymized production-test HAR"
stored-log completed network fetches,before,43,requests,"Anonymized production-test HAR"
browser-cancelled fetches,before,10,requests,"Anonymized production-test HAR"
cancelled fetches continued by Workbox,before,10,requests,"Anonymized production-test HAR"
completed request median,before,1462,milliseconds,"Anonymized production-test HAR"
completed request p90,before,6446,milliseconds,"Anonymized production-test HAR"
completed request maximum,before,16532,milliseconds,"Anonymized production-test HAR"
observation window,after,154,seconds,"Anonymized production-test HAR; direct routing"
stored-log browser fetches,after,24,requests,"Anonymized production-test HAR; direct routing"
stored-log completed network fetches,after,20,requests,"Anonymized production-test HAR; direct routing"
browser-cancelled fetches,after,4,requests,"Anonymized production-test HAR; direct routing"
cancelled fetches continued by Workbox,after,0,requests,"Anonymized production-test HAR; direct routing"
completed request median,after,2207,milliseconds,"Anonymized production-test HAR; all completed requests"
completed request p90,after,4325,milliseconds,"Anonymized production-test HAR; all completed requests"
completed request maximum,after,5505,milliseconds,"Anonymized production-test HAR; all completed requests"
browser fetch rate,before,25.5,requests per minute,"Normalized from anonymized production-test HAR"
browser fetch rate,after,9.4,requests per minute,"Normalized from anonymized production-test HAR"
completed network fetch rate,before,25.5,requests per minute,"Normalized from anonymized production-test HAR"
completed network fetch rate,after,7.8,requests per minute,"Normalized from anonymized production-test HAR"
matched exact-query median of medians,before,3327,milliseconds,"Ten exact query URLs present in both captures"
matched exact-query median of medians,after,3465,milliseconds,"Ten exact query URLs present in both captures"
matched exact-query p90 of medians,before,7012,milliseconds,"Ten exact query URLs present in both captures"
matched exact-query p90 of medians,after,4835,milliseconds,"Ten exact query URLs present in both captures"
matched exact-query maximum median,before,8672,milliseconds,"Ten exact query URLs present in both captures"
matched exact-query maximum median,after,5505,milliseconds,"Ten exact query URLs present in both captures"
cancelled fetches routed through Workbox,controlled-after,0,requests,"Production PWA routing policy"
rapid page selections admitted,controlled-before,5,requests,"Deterministic interaction model"
rapid page selections admitted,controlled-after,1,requests,"Production busy-state policy"
automatic refreshes during 30-second paginated dwell,controlled-before,10,requests,"Three-second production refresh policy"
automatic refreshes during 30-second paginated dwell,controlled-after,0,requests,"Production display-mode policy"
